9517,Kirton Drive opposite Grace Nicholls Grove,-41.10900407000000,175.03810963
1971,South Road at Short Street,-40.96056839,175.6453288
9350,Park Road at Chilean Embassy (near 71),-41.18824009,174.9195383
4454,Bombay Street opposite Tarikaka Street,-41.24955108,174.7812191
9463,Fergusson Drive at Perry Street,-41.14507039,175.0158672
8233,Taita Drive at Percy Cameron Street (near 238),-41.18692722,174.9494273
9703,Parkside Road at Hutt Park Road,-41.23672139,174.9073537
1952,Cole Street at Kummer Crescent,-40.94543969,175.6451997
5453,Colway Street at Bombay Street,-41.24993521000000,174.779678
9731,Seaview - Seaview Road (near 43),-41.238795,174.907669
1940,High Street Masterton (near 199),-40.96216734,175.6266194
7224,Kilbirnie - Stop B,-41.31760422456680,174.79593749451000
6052,Moa Point Road (near 39),-41.33727468,174.8104969
8312,Logie Street at Shaftsbury Grove,-41.17155848,174.9738851
3948,Kenepuru Drive opposite Rembrandt Avenue,-41.15011217,174.8327451
7424,Berhampore Shops - Adelaide Road,-41.31962957000000,174.775241
4922,Northland Village - Northland Road,-41.28352121,174.7569474
3506,Helston Road at Beazley Avenue,-41.21659284000000,174.8152756
8163,Knights Road opposite Chilton St James School,-41.21222667,174.91302106
8850,Muritai Road at Makaro Gardens,-41.29210409,174.8971435
5020,Thorndon Quay at Davis Street (near 125),-41.27419839,174.7833218
7534,Waipapa Road (near 96),-41.30343891000000,174.7970186
6557,Hataitai Road (near 120),-41.30195540000000,174.79691237
6567,Roseneath Terrace at Thane Road,-41.29307046,174.79898933
1147,Paraparaumu Beach Shops - Stop B,-40.89309815,174.9814885
6936,Hungerford Road at Houghton Bay Road,-41.33880744000000,174.7873543
6727,The Ridgeway (near 111),-41.31679402,174.76504073
1213,Guildford Drive at Regent Drive,-40.89520317,175.0004256
5368,Hazlewood Avenue at Fitzgerald Place,-41.29716839,174.7241108
4457,Mysore Street (opposite 138),-41.25165277,174.7850954
6926,Sutherland Road at Rodrigo Road,-41.32256804,174.7890611
3422,Mark Avenue near Paparangi Shops,-41.21403051,174.817829
5506,Lambton Central - Stop B,-41.28296166,174.7757989
7212,Elizabeth Street at Kent Terrace,-41.2958177,174.7831941
1272,Kapiti Road at Hurley Road,-40.89741363,174.9871967
8328,The Glen - Horoeka Street at Glen Road (near 5),-41.17088703,174.9867388
3518,Kenmore Street (near 72),-41.22567661,174.82734405
5917,Kelburn Village - Upland Road (St Michael's),-41.28928589,174.7628342
8514,Kirton Drive at Betty Watt Grove,-41.11842123,175.03765751
PETO1,Petone Station,-41.22202574,174.86951757
9002,Jackson Street at Te Puni Street (eastbound),-41.22291351,174.8705664
3927,Hinau Street (near 3) (school stop),-41.16246879175550,174.83143218364000
6559,Hataitai Road at Hataitai School,-41.2978909,174.8004493
6286,Seatoun Heights Road at Tio Tio Road,-41.32317226,174.8270749
3268,Johnsonville Road at Disraeli Street,-41.22545745,174.8071696
7346,Airport Retail Park (opposite),-41.32650827,174.8020736
7910,Taranaki Street at Courtenay Place (near 72),-41.29337248,174.778231
3210,Halswater Drive at Dormar Place,-41.20773958,174.8112141
5420,Everest Street at Ganges Road,-41.24828172,174.7933578
3070,Erris Street at Ironside Road,-41.21882257,174.7994715
5118,Grosvenor Terrace at Lower Watt Street,-41.26594876,174.7798351
2842,Richard Street (near 2),-41.10259728,174.83660018
8462,Silverstream Station - Fergusson Drive,-41.14685583,175.0116322
9550,Shakespeare Avenue at Moonshine Road (near 84),-41.12454839,175.040611
